material,gLen_µm,freq_Ghz,gain_dB,noise_dB,bandwidth_GHz,lna_arch_3stage,lna_arch_3stageCS,lna_arch_4stage,lna_arch_5stage,lna_arch_6stage,lna_arch_Cascode,lna_arch_Distributed,lna_arch_Foldedcascode,lna_arch_PowerAmplifier,lna_arch_Singlestage,lna_arch_UWB,lna_arch_Unknown
1,0.25,2.4,12.0,1.35,0.9,False,False,False,False,False,False,False,True,False,False,False,False
1,0.15,3.5,17.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.1,60.0,12.0,2.5,8.0,False,False,False,False,False,True,False,False,False,False,False,False
1,0.25,10.0,15.2,1.8,2.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,94.0,18.0,3.5,14.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,30.0,20.3,2.9,4.0,False,True,False,False,False,False,False,False,False,False,False,False
1,0.1,94.0,20.0,4.2,8.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,24.0,20.0,2.1,4.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.25,2.1,18.5,0.8,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,28.0,21.0,2.3,6.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,38.0,23.0,3.8,22.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.05,40.0,27.5,2.0,20.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,1.8,20.0,1.1,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,35.0,15.0,3.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False
1,0.1,92.5,15.0,4.5,35.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,28.5,15.6,2.8,6.0,False,False,False,False,False,False,False,False,False,False,False,False
1,0.15,11.5,15.0,2.0,13.0,False,False,False,False,False,False,True,False,False,False,False,False
1,0.15,10.0,12.0,3.0,16.0,False,False,False,False,False,False,True,False,False,False,False,False
1,0.25,2.5,15.1,1.5,0.1,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,2.3,16.9,1.69,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,2.7,14.3,1.93,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,4.0,15.0,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,6.0,12.0,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,2.0,16.0,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,0.5,17.6,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,1.0,15.6,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,2.5,12.4,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,1.3,19.0,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,2.0,12.5,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,3.7,14.5,2.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,2.4,15.0,1.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,2.4,16.2,1.8,0.5,False,False,False,False,False,False,False,False,False,True,False,False
1,0.25,2.4,17.0,1.4,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,10.0,17.0,1.5,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.25,5.8,12.5,1.3,8.0,False,False,False,False,False,True,False,False,False,False,False,False
1,0.25,3.5,15.0,1.1,8.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,10.0,20.0,1.55,4.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,77.0,24.0,5.4,14.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,2.6,18.0,2.2,0.2,False,False,False,False,False,False,False,False,True,False,False,False
1,0.1,115.0,10.0,7.0,50.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.25,3.0,14.0,3.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True
1,0.15,30.0,18.0,2.8,5.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.15,26.0,25.0,1.4,8.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,33.5,22.0,2.25,13.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.15,78.5,15.0,6.25,15.0,False,False,True,False,False,False,False,False,False,False,False,False
1,0.1,90.0,20.0,4.8,20.0,True,False,False,False,False,False,False,False,False,False,False,False
1,0.1,58.5,20.0,3.0,17.0,False,False,True,False,False,False,False,False,False,False,False,False
