material,gLen_µm,freq_Ghz,gain_dB,noise_dB,Pdc_mW,bandwidth_GHz,lna_arch
GaN ,0.25,2.4,12,1.35,2,0.9,Foldedcascode
GaN ,0.15,3.5,17,1,null,1,null
GaN ,0.1,60,12,2.5,null,null,Cascode
GaN ,0.25,10,15.2,1.8,182,2,null
GaN ,0.15,94,18,3.5,120,14,3stage
GaN ,0.15,30,20.3,2.9,154,4,3stageCS
GaN ,0.1,94,20,4.2,84,8,4stage
GaN ,0.15,24,20,2.1,42,4,3stage
GaN ,0.25,2.1,18.5,0.8,null,null,null
GaN ,0.15,28,21,2.3,null,6,3stage
GaN ,0.15,38,23,3.8,62,22,null
GaN ,0.05,40,27.5,2,240,20,null
GaN ,0.25,1.8,20,1.1,56,null,null
GaN ,0.15,35,15,3,36,10,2stage
GaN ,0.1,92.5,15,4.5,72,35,3stage
GaN ,0.15,28.5,15.6,2.8,39,6,2stage
GaN ,0.15,11.5,15,2,112,13,Distributed
GaN ,0.15,10,12,3,null,16,Distributed
GaN ,0.25,2.5,15.1,1.5,28.4,0.1,null
GaN ,0.25,2.3,16.9,1.69,27.1,null,null
GaN ,0.25,2.7,14.3,1.93,28,null,null
GaN ,0.25,4,15,null,null,null,null
GaN ,0.25,6,12,null,null,null,null
GaN ,0.25,2,16,null,null,null,null
GaN ,0.25,0.5,17.6,null,null,null,null
GaN ,0.25,1,15.6,null,null,null,null
GaN ,0.25,2.5,12.4,null,null,null,null
GaN ,0.25,1.3,19,null,null,null,null
GaN ,0.25,2,12.5,null,null,null,null
GaN ,0.25,3.7,14.5,null,null,null,null
GaN ,null,2.4,15,1,50,null,null
GaN,null,2.4,16.2,1.8,30,0.5,Singlestage
GaN ,0.25,2.4,17,1.4,44.8,null,null
GaN ,0.25,10,17,1.5,280,null,null
GaN,0.25,5.8,12.5,1.3,45,null,Cascode
GaN ,0.25,3.5,15,1.1,null,null,null
GaN ,0.15,10,20,1.55,null,4,3stage
GaN ,0.15,77,24,5.4,null,14,4stage
GaN ,0.15,2.6,18,2.2,null,0.2,PowerAmplifier
GaN ,0.1,115,10,7,null,50,4stage
GaN ,0.25,3,14,3,280,2,null
GaN ,0.15,30,18,2.8,120,5,3stage
GaN ,0.15,26,25,1.4,180,8,4stage
GaN ,0.15,33.5,22,2.25,null,13,4stage
GaN ,0.15,78.5,15,6.25,null,15,4stage
GaN ,0.1,90,20,4.8,100,20,3stage
GaN ,0.1,58.5,20,3,null,17,4stage
GaN ,0.1,30,23,2,null,6,4stage
GaN ,0.1,26,9,4.5,null,48,Distributed
GaN ,0.15,11,10,3,null,18,Distributed
GaAs ,0.15,36,21.5,2.2,56,8,3stageCS
GaAs ,0.1,38,27,1.78,57,2,3stageCS
GaAs ,0.15,39,23,3.8,62,22,null
GaAs,0.07,44,19,1.5,40,4,null
GaAs ,0.1,45.5,16.5,2,80,11,null
GaAs ,0.07,49.5,17,2,null,5,null
GaAs ,0.15,36,14.2,2.65,38,14,null
GaAs ,0.15,32.5,20,2.8,230,15,null
GaAs ,0.15,28.25,22.5,3.75,36,11.5,null
GaAs ,0.15,39.5,23,3.8,62.6,22,null
GaAs ,0.1,30.5,21.6,2.25,140,25,null
GaAs ,0.13,22.5,25,1.25,null,17,null
GaAs ,0.15,11,15,3,null,18,null
GaAs ,0.15,12,16,0.7,null,2,null
GaAs ,0.1,94,23,3.5,60,6,4stage
GaAs ,0.15,2.4,16,0.4,null,null,null
GaAs ,null,2.4,16.29,0.44,15.7,0.27,Singlestage
GaAs ,null,2.4,16.29,0.382,null,null,Singlestage
GaAs ,null,2.45,15,1,null,0.3,null
GaAs ,0.25,5.4,12,1.7,20,1,null
InP ,0.1,92.5,20,3.25,null,35,4stage
GaAs ,0.13,33,13,2.8,50,14,3stage
GaAs ,0.15,50,15,4.5,null,20,3stage
GaAs ,0.1,62.5,16,4.25,null,25,4stage
GaAs ,0.15,60,20,3.5,null,10,4stage
GaAs ,0.1,94,17,4.8,75,10,4stage
GaAs ,0.1,78.5,21,4.25,null,15,4stage
GaAs ,0.1,140,18,4.5,null,15,4stage
GaAs ,0.1,1.2,19.5,0.5,null,null,null
GaAs ,0.18,2.4,14,1.2,24,null,null
GaAs ,0.15,1.575,19,0.55,null,null,null
GaAs ,0.5,1.9,15.7,0.8,null,null,null
GaAs ,0.25,2.4,14,0.6,30,null,null
GaAs ,0.35,3.5,18,1,null,null,null
GaAs ,0.25,5.2,13.5,1.2,null,null,null
GaAs ,0.2,8,17,1.4,null,null,null
GaAs ,0.15,12,15,1.8,null,null,null
GaAs ,0.15,18,12,2.5,null,null,null
GaAs ,0.13,26,18,2.2,null,null,4stage
GaAs ,0.1,35,15,2.8,null,null,3stage
GaAs ,0.1,44,14,3.2,null,null,3stage
GaAs ,0.1,60,12,4.5,null,null,3stage
GaAs ,0.1,77,9,5.5,null,null,2stage
GaAs ,0.1,94,7,6.5,null,null,2stage
GaAs ,0.15,12,22,0.85,null,2,null
GaAs ,0.13,1.9,22.4,0.44,null,null,null
GaAs ,0.18,1.9,25,0.7,null,null,null
GaAs ,0.25,5.8,15.5,1,null,null,null
GaAs ,0.12,12,18,1.1,null,null,null
GaAs ,0.15,24,15,2.5,null,6,3stage
GaN ,0.2,2.5,18,1.1,140,1,2stage
GaN ,0.15,4,20,1.2,120,2,3stage
GaN ,0.25,1.515,20,1.5,112,2.97,null
GaN ,0.25,1.2,20.5,0.6,112,null,Singlestage
GaN,0.15,30,22,2.5,null,5,3stage
GaN ,0.15,10,25,0.8,150,4,3stageCS
GaN ,0.15,24,12,2.2,60,8,2stage
GaN,0.25,10,11.5,1.3,280,null,null
GaN ,0.2,6,18,1.25,200,4,2stage
GaN ,0.15,60,10.5,4.3,null,10,2stage
GaN ,0.15,78.5,20,4.5,84,15,4stage
GaN ,0.25,2,20.5,0.85,140,null,Singlestage
GaN,0.15,35,18.2,2.1,114,5.5,3stage
GaN ,0.15,94,15,3.8,90,12,3stage
GaN ,0.07,92.5,22,3.5,150,35,5stage
GaN ,0.15,4.9,22,1.2,84,0.2,Singlestage
GaN,0.15,1.5,20,1,120,1,null
GaN ,0.25,1.6,17,0.9,280,null,null
GaN ,0.15,8.5,23,0.9,null,1,3stage
GaN ,0.1,45,15,2.5,null,10,3stage
GaN ,0.15,24,20,1.8,60,2,Singlestage
GaN,0.12,15.5,12,1.2,null,3,2stage
GaN ,0.25,0.9,20,0.7,112,null,null
GaN ,0.25,3.1,18,1.4,100,0.8,null
GaN ,0.15,4,13,2,null,4,Distributed
GaAs ,0.15,1.575,30,0.35,45,null,3stage
GaAs ,0.1,5.8,26,0.6,27,null,3stage
GaAs ,0.13,4,22.5,0.45,30,null,null
GaAs ,0.13,12,18,0.8,30,null,2stage
GaAs ,0.15,23,24.5,1.2,180,3,3stage
GaAs ,0.15,3.5,22.1,0.54,40,null,null
GaAs ,0.1,28,18,2.5,90,8,4stage
GaAs ,0.15,22,14,1.9,null,8,null
GaAs ,0.1,10.5,18,2.25,200,19,Distributed
GaAs ,0.15,45,16,3.5,75,10,3stage
GaAs ,0.1,87.5,20,3.8,120,25,5stage
GaAs ,0.13,12,16,1.5,null,12,3stage
GaAs ,0.15,2.4,22.6,0.55,75,null,3stage
GaAs ,0.25,1.9,21,0.5,27,null,null
GaAs ,0.15,5.8,25.5,0.45,45,null,null
GaAs ,0.1,94,25,2.8,48,8,5stage
GaAs ,0.1,33,25,2.5,120,14,5stage
GaAs ,0.15,6.5,15,1.25,40,11,null
GaAs ,0.1,140,15,5.2,null,20,4stage
GaAs ,0.13,60,11,3.8,60,4,2stage
GaAs ,0.1,12,15,3,150,20,Distributed
GaAs ,0.1,77,20,3.3,null,8,4stage
GaAs ,0.1,47,20,2.2,null,6,4stage
GaAs ,0.13,6.85,16,2.5,null,7.5,UWB
GaAs ,0.18,5.8,10,4,12.6,8.4,UWB
GaAs ,0.15,2.4,13.8,0.7,13.5,null,null
GaAs ,0.15,2,17,1.1,null,null,null
GaAs ,0.15,10.5,9,3,null,19,Distributed
GaAs ,0.25,5.2,18,0.7,27,null,null
GaAs ,0.1,11,20,1.5,180,18,4stage
GaAs ,0.15,14,15.5,1.3,50,null,null
GaAs ,0.1,18,13.5,1.8,null,4,2stage
GaAs ,0.13,30,12,2.8,null,4,2stage
GaAs ,0.1,45,12,2.1,null,5,2stage
GaAs ,0.1,60,14,2.8,80,7,3stage
GaAs ,0.15,10,17,2.25,160,16,Distributed
GaAs ,0.13,2.4,19,0.6,null,null,null
GaAs ,0.15,5.8,15,0.8,null,null,null
GaAs ,0.18,2.1,21,0.9,30,null,null
GaAs ,0.1,15,15,1.5,75,6,3stage
GaAs ,0.15,32,12,2.8,null,8,2stage
GaAs ,0.1,38,12,2.5,100,4,3stage
GaAs ,0.13,55,10,5,null,20,Distributed
GaAs ,0.1,14,13,3.5,90,24,Distributed
GaAs ,0.15,15,10,2.5,null,10,null
GaAs ,0.15,18.5,24,1.4,120,2,3stage
GaAs ,0.1,29.5,23,1.6,120,4,3stage
GaAs ,0.15,38,15,2.5,null,4,3stage
GaAs ,0.1,6,23,0.8,90,4,3stage
GaAs ,0.15,0.9,24,0.45,30,null,null
GaAs ,0.15,12,12.5,1.8,140,12,Distributed
GaAs ,0.15,3.75,17,1.5,45,0.9,null
GaAs ,0.1,15,26,0.9,null,1,4stage
GaAs ,0.25,1.25,25.5,0.6,75,null,2stage
GaAs ,0.15,5,15,1.5,null,6,2stage
GaAs ,0.13,7,12,2.5,null,10,Distributed
GaAs ,0.1,20,12,1.8,60,4,2stage
GaAs ,0.1,30,10,2.2,60,4,2stage
GaAs ,0.15,40,8,3,60,4,2stage
GaAs ,0.1,2.4,20.8,0.48,50,null,2stage
GaAs ,0.18,1.5,18,0.6,null,null,3stage
GaAs ,0.15,3.1,16.5,0.7,null,null,2stage
GaAs ,0.25,1.6,15,0.5,30,null,null
GaAs ,0.12,10,17,1.2,null,2,3stage
GaAs ,0.1,15,14,1.5,null,2,3stage
GaN ,0.15,2.4,22,0.7,280,0.5,2stage
GaN,0.25,5.2,15.1,1.1,100,1,null
GaN ,0.15,10,18,1.5,150,2,3stage
GaN ,0.15,3.5,19.5,1.3,84,1,null
GaN ,0.1,92.5,18,4.8,120,35,4stage
GaN ,0.15,30,16,2.4,90,4,3stage
GaN,0.15,13,10,2.5,null,10,Distributed
GaN ,0.25,5.05,14,3,120,9.9,Distributed
GaN ,0.15,30,25,1.9,180,4,4stage
GaN ,0.2,4,15,1.75,200,4,3stage
GaN ,0.15,40,14,3.2,75,8,3stage
GaN,0.09,94,21,3.5,84,10,4stage
GaN ,0.15,4.8,20,1.3,100,0.5,2stage
GaN ,0.15,60,15,3.8,110,10,3stage
GaN ,0.07,78.5,25,4.2,140,15,5stage
GaN ,0.15,24,18,2.1,54,4,3stage
GaN ,0.25,1.8,22.5,0.8,196,null,null
GaN,0.15,3.55,20,1,null,0.5,null
GaN ,0.15,3.5,12,2.5,240,5,Distributed
GaN ,0.15,12,15,1.8,null,4,null
GaN ,0.2,1.2,23,0.7,null,0.2,null
GaN,0.15,24,21,2,80,2,2stage
GaN ,0.1,90,18,4,100,15,4stage
GaN ,0.15,2.1,17,1.6,120,3.4,null
GaN ,0.25,2.4,15,1,56,0.8,Singlestage
GaN ,0.15,10,12,2.5,null,16,Distributed
GaAs ,0.13,15,20,1.8,90,6,4stage
GaAs ,0.1,10,15,2.25,180,16,Distributed
GaAs ,0.15,26,19,2.2,70,4,3stage
GaAs ,0.1,38.5,15,2.8,null,7,3stage
GaAs ,0.15,1.2,22,0.5,60,null,2stage
InP ,0.1,62.5,20,2.5,null,25,5stage
GaAs ,0.1,94,22,3,100,10,5stage
GaAs ,0.15,10,22,1,50,4,4stage
GaAs ,0.1,140,12,6,null,20,3stage
GaAs ,0.1,50,18,3.5,null,20,4stage
GaAs ,0.13,11,14,3,null,18,Distributed
GaAs ,0.15,1.5,23,0.8,40,2,null
GaAs ,0.18,2.4,18,1,36,0.5,2stage
GaAs ,0.1,1.5,10,3.75,null,28,Distributed
GaAs ,0.25,5.8,17.5,1.2,45,1,null
GaAs ,0.15,24,15,2,80,8,3stage
GaAs ,0.1,92.5,25,4,150,35,6stage
InP ,0.07,155,15,4.5,60,10,3stage
GaAs ,0.13,9.5,12,2.5,120,17,Distributed
GaAs ,0.15,43,14,3.5,null,6,3stage
GaAs ,0.1,96,20,3.2,110,8,5stage
GaAs ,0.15,30,17,2.3,65,8,3stage
GaAs ,0.2,1.65,16,0.9,25,1.7,null
GaAs ,0.1,60,15,3.5,90,20,4stage
GaAs ,0.15,11,20,1.85,150,18,4stage
GaAs ,0.1,22.25,20,2.5,100,8.5,4stage
GaAs ,0.13,34.5,14,2.8,110,7,3stage
GaAs ,0.15,1.8,18,1,50,1.2,null
GaAs ,0.18,3.05,13,2,30,5.9,null
GaAs ,0.1,40,15,2,70,5,3stage
GaAs ,0.1,80,12,5,null,20,3stage
GaAs ,0.15,6,14,1.75,60,8,2stage
GaAs ,0.25,1.5,22,0.6,50,null,2stage
GaAs ,0.1,25,12,2.5,80,10,3stage
GaAs ,0.13,12,15,1.5,70,8,3stage
GaAs ,0.15,8,10,1.2,18,8,null
GaAs ,0.1,39,18,2.8,120,12,4stage
GaAs ,0.15,2.3,18,0.9,null,4.4,null
GaAs ,0.1,6.5,13.5,2.1,250,11,Distributed
GaAs ,0.1,100,11,4.8,80,10,3stage
GaAs ,0.15,7,11.5,2,200,10,Distributed
GaAs ,0.15,13.5,9,3.5,null,25,Distributed
GaAs ,0.18,30.5,10,3.15,130,9,null
GaAs ,0.15,62.5,10,4.5,null,25,Distributed
GaAs ,0.1,35,16,1.8,50,4,3stage
GaAs ,0.15,2.4,15,0.75,20,0.5,Singlestage
GaAs ,0.13,16,16,1.5,90,8,3stage
GaAs ,0.1,25,14,2.7,null,14,3stage
GaAs ,0.15,2.3,15,1.15,50,3.8,null
